CUST_ID,TYPE,VALUE
227,SENDOUT_1,1
228,SENDOUT_1,0
229,SENDOUT_1,1
230,SENDOUT_1,0
231,SENDOUT_1,1
232,SENDOUT_1,1
233,SENDOUT_1,1
234,SENDOUT_1,1
235,SENDOUT_1,0
236,SENDOUT_1,0
237,SENDOUT_1,0
238,SENDOUT_1,1
239,SENDOUT_1,1
240,SENDOUT_1,0
241,SENDOUT_1,1
242,SENDOUT_1,0
243,SENDOUT_1,1
244,SENDOUT_1,1
245,SENDOUT_1,1
246,SENDOUT_1,1
247,SENDOUT_1,0
248,SENDOUT_1,0
249,SENDOUT_1,1
250,SENDOUT_1,1
251,SENDOUT_1,1
252,SENDOUT_1,0
253,SENDOUT_1,1
254,SENDOUT_1,1
255,SENDOUT_1,1
256,SENDOUT_1,0
257,SENDOUT_1,1
258,SENDOUT_1,0
259,SENDOUT_1,0
260,SENDOUT_1,1
261,SENDOUT_1,0
262,SENDOUT_1,1
263,SENDOUT_1,1
264,SENDOUT_1,1
265,SENDOUT_1,0
266,SENDOUT_1,1
267,SENDOUT_1,1
268,SENDOUT_1,0
269,SENDOUT_1,1
270,SENDOUT_1,0
271,SENDOUT_1,0
272,SENDOUT_1,0
273,SENDOUT_1,1
274,SENDOUT_1,1
275,SENDOUT_1,1
276,SENDOUT_1,0
277,SENDOUT_1,0
278,SENDOUT_1,1
279,SENDOUT_1,0
280,SENDOUT_1,0
281,SENDOUT_1,0
282,SENDOUT_1,0
283,SENDOUT_1,1
284,SENDOUT_1,1
285,SENDOUT_1,0
286,SENDOUT_1,1
287,SENDOUT_1,1
288,SENDOUT_1,1
289,SENDOUT_1,1
290,SENDOUT_1,0
291,SENDOUT_1,1
292,SENDOUT_1,1
293,SENDOUT_1,1
294,SENDOUT_1,0
295,SENDOUT_1,1
296,SENDOUT_1,1
297,SENDOUT_1,1
298,SENDOUT_1,1
299,SENDOUT_1,1
300,SENDOUT_1,0
301,SENDOUT_1,1
302,SENDOUT_1,1
303,SENDOUT_1,1
304,SENDOUT_1,1
305,SENDOUT_1,0
306,SENDOUT_1,0
307,SENDOUT_1,0
308,SENDOUT_1,1
309,SENDOUT_1,1
310,SENDOUT_1,1
311,SENDOUT_1,0
312,SENDOUT_1,1
313,SENDOUT_1,1
314,SENDOUT_1,1
315,SENDOUT_1,1
316,SENDOUT_1,0
317,SENDOUT_1,1
318,SENDOUT_1,0
319,SENDOUT_1,1
320,SENDOUT_1,0
321,SENDOUT_1,0
322,SENDOUT_1,0
323,SENDOUT_1,0
324,SENDOUT_1,1
325,SENDOUT_1,1
326,SENDOUT_1,1
327,SENDOUT_1,0
328,SENDOUT_1,1
329,SENDOUT_1,0
330,SENDOUT_1,0
331,SENDOUT_1,1
332,SENDOUT_1,1
333,SENDOUT_1,0
334,SENDOUT_1,0
335,SENDOUT_1,0
336,SENDOUT_1,0
337,SENDOUT_1,1
338,SENDOUT_1,0
339,SENDOUT_1,1
340,SENDOUT_1,0
341,SENDOUT_1,0
342,SENDOUT_1,0
343,SENDOUT_1,1
344,SENDOUT_1,0
345,SENDOUT_1,0
346,SENDOUT_1,1
347,SENDOUT_1,1
348,SENDOUT_1,1
349,SENDOUT_1,0
350,SENDOUT_1,1
351,SENDOUT_1,0
352,SENDOUT_1,1
353,SENDOUT_1,1
354,SENDOUT_1,0
355,SENDOUT_1,1
356,SENDOUT_1,1
357,SENDOUT_1,1
358,SENDOUT_1,1
359,SENDOUT_1,1
360,SENDOUT_1,0
361,SENDOUT_1,0
362,SENDOUT_1,0
363,SENDOUT_1,1
364,SENDOUT_1,0
365,SENDOUT_1,1
366,SENDOUT_1,1
367,SENDOUT_1,1
368,SENDOUT_1,0
369,SENDOUT_1,1
370,SENDOUT_1,0
371,SENDOUT_1,1
372,SENDOUT_1,1
373,SENDOUT_1,0
374,SENDOUT_1,1
375,SENDOUT_1,1
376,SENDOUT_1,0
377,SENDOUT_1,0
378,SENDOUT_1,0
379,SENDOUT_1,1
380,SENDOUT_1,0
381,SENDOUT_1,0
382,SENDOUT_1,0
383,SENDOUT_1,1
384,SENDOUT_1,1
385,SENDOUT_1,0
386,SENDOUT_1,0
387,SENDOUT_1,1
388,SENDOUT_1,1
389,SENDOUT_1,1
390,SENDOUT_1,1
391,SENDOUT_1,0
392,SENDOUT_1,1
393,SENDOUT_1,1
394,SENDOUT_1,1
395,SENDOUT_1,0
396,SENDOUT_1,0
397,SENDOUT_1,0
398,SENDOUT_1,0
399,SENDOUT_1,0
400,SENDOUT_1,0
401,SENDOUT_1,1
402,SENDOUT_1,1
403,SENDOUT_1,1
404,SENDOUT_1,1
405,SENDOUT_1,0
406,SENDOUT_1,1
407,SENDOUT_1,0
408,SENDOUT_1,1
409,SENDOUT_1,0
410,SENDOUT_1,1
411,SENDOUT_1,1
412,SENDOUT_1,0
413,SENDOUT_1,0
414,SENDOUT_1,1
415,SENDOUT_1,0
416,SENDOUT_1,1
417,SENDOUT_1,1
418,SENDOUT_1,0
419,SENDOUT_1,1
420,SENDOUT_1,0
421,SENDOUT_1,1
422,SENDOUT_1,0
423,SENDOUT_1,1
424,SENDOUT_1,0
425,SENDOUT_1,0
426,SENDOUT_1,0
427,SENDOUT_1,0
428,SENDOUT_1,0
429,SENDOUT_1,1
430,SENDOUT_1,0
431,SENDOUT_1,1
432,SENDOUT_1,0
433,SENDOUT_1,0
434,SENDOUT_1,0
435,SENDOUT_1,0
436,SENDOUT_1,1
437,SENDOUT_1,1
438,SENDOUT_1,1
439,SENDOUT_1,0
440,SENDOUT_1,0
441,SENDOUT_1,0
442,SENDOUT_1,1
443,SENDOUT_1,0
444,SENDOUT_1,0
445,SENDOUT_1,1
446,SENDOUT_1,1
447,SENDOUT_1,0
448,SENDOUT_1,0
449,SENDOUT_1,0
450,SENDOUT_1,1
451,SENDOUT_1,1
452,SENDOUT_1,0
453,SENDOUT_1,1
454,SENDOUT_1,0
455,SENDOUT_1,0
456,SENDOUT_1,0
457,SENDOUT_1,0
458,SENDOUT_1,1
459,SENDOUT_1,1
460,SENDOUT_1,0
461,SENDOUT_1,1
462,SENDOUT_1,1
463,SENDOUT_1,1
464,SENDOUT_1,0
465,SENDOUT_1,0
466,SENDOUT_1,0
467,SENDOUT_1,1
468,SENDOUT_1,0
469,SENDOUT_1,1
470,SENDOUT_1,0
471,SENDOUT_1,1
472,SENDOUT_1,1
473,SENDOUT_1,1
474,SENDOUT_1,0
475,SENDOUT_1,0
476,SENDOUT_1,0
477,SENDOUT_1,1
478,SENDOUT_1,1
479,SENDOUT_1,0
480,SENDOUT_1,0
481,SENDOUT_1,0
482,SENDOUT_1,1
483,SENDOUT_1,1
484,SENDOUT_1,0
485,SENDOUT_1,0
486,SENDOUT_1,0
487,SENDOUT_1,0
488,SENDOUT_1,0
489,SENDOUT_1,1
490,SENDOUT_1,0
491,SENDOUT_1,0
492,SENDOUT_1,1
493,SENDOUT_1,0
494,SENDOUT_1,1
495,SENDOUT_1,1
496,SENDOUT_1,0
497,SENDOUT_1,0
498,SENDOUT_1,1
499,SENDOUT_1,1
500,SENDOUT_1,1
501,SENDOUT_1,0
502,SENDOUT_1,0
503,SENDOUT_1,1
504,SENDOUT_1,0
505,SENDOUT_1,0
506,SENDOUT_1,1
507,SENDOUT_1,1
508,SENDOUT_1,1
509,SENDOUT_1,0
510,SENDOUT_1,0
511,SENDOUT_1,1
512,SENDOUT_1,0
513,SENDOUT_1,1
514,SENDOUT_1,0
515,SENDOUT_1,0
516,SENDOUT_1,0
517,SENDOUT_1,1
518,SENDOUT_1,0
519,SENDOUT_1,1
520,SENDOUT_1,0
521,SENDOUT_1,0
522,SENDOUT_1,1
523,SENDOUT_1,1
524,SENDOUT_1,0
525,SENDOUT_1,1
526,SENDOUT_1,0
527,SENDOUT_1,1
528,SENDOUT_1,1
529,SENDOUT_1,0
530,SENDOUT_1,1
531,SENDOUT_1,1
532,SENDOUT_1,1
533,SENDOUT_1,1
534,SENDOUT_1,0
535,SENDOUT_1,1
536,SENDOUT_1,1
537,SENDOUT_1,0
538,SENDOUT_1,0
539,SENDOUT_1,0
540,SENDOUT_1,1
541,SENDOUT_1,0
542,SENDOUT_1,0
543,SENDOUT_1,1
544,SENDOUT_1,1
545,SENDOUT_1,1
546,SENDOUT_1,1
547,SENDOUT_1,1
548,SENDOUT_1,0
549,SENDOUT_1,0
550,SENDOUT_1,1
551,SENDOUT_1,0
552,SENDOUT_1,0
553,SENDOUT_1,1
554,SENDOUT_1,1
555,SENDOUT_1,0
556,SENDOUT_1,0
557,SENDOUT_1,1
558,SENDOUT_1,0
559,SENDOUT_1,0
560,SENDOUT_1,0
561,SENDOUT_1,1
562,SENDOUT_1,0
563,SENDOUT_1,0
564,SENDOUT_1,1
565,SENDOUT_1,1
566,SENDOUT_1,0
567,SENDOUT_1,1
568,SENDOUT_1,1
569,SENDOUT_1,0
570,SENDOUT_1,0
571,SENDOUT_1,1
572,SENDOUT_1,1
573,SENDOUT_1,0
574,SENDOUT_1,0
575,SENDOUT_1,1
576,SENDOUT_1,0
577,SENDOUT_1,1
578,SENDOUT_1,1
579,SENDOUT_1,0
580,SENDOUT_1,0
581,SENDOUT_1,1
582,SENDOUT_1,1
583,SENDOUT_1,0
584,SENDOUT_1,0
585,SENDOUT_1,1
586,SENDOUT_1,0
587,SENDOUT_1,0
588,SENDOUT_1,1
589,SENDOUT_1,0
590,SENDOUT_1,0
591,SENDOUT_1,1
592,SENDOUT_1,1
593,SENDOUT_1,1
594,SENDOUT_1,0
595,SENDOUT_1,1
596,SENDOUT_1,1
597,SENDOUT_1,1
598,SENDOUT_1,0
599,SENDOUT_1,1
600,SENDOUT_1,1
601,SENDOUT_1,1
602,SENDOUT_1,1
603,SENDOUT_1,1
604,SENDOUT_1,1
605,SENDOUT_1,0
606,SENDOUT_1,1
607,SENDOUT_1,0
608,SENDOUT_1,0
609,SENDOUT_1,1
610,SENDOUT_1,1
611,SENDOUT_1,0
612,SENDOUT_1,1
613,SENDOUT_1,0
614,SENDOUT_1,0
615,SENDOUT_1,0
616,SENDOUT_1,0
617,SENDOUT_1,1
618,SENDOUT_1,0
619,SENDOUT_1,0
620,SENDOUT_1,1
621,SENDOUT_1,0
622,SENDOUT_1,0
623,SENDOUT_1,0
624,SENDOUT_1,1
625,SENDOUT_1,1
626,SENDOUT_1,0
627,SENDOUT_1,0
628,SENDOUT_1,1
629,SENDOUT_1,1
630,SENDOUT_1,0
631,SENDOUT_1,0
632,SENDOUT_1,1
633,SENDOUT_1,0
634,SENDOUT_1,0
635,SENDOUT_1,1
636,SENDOUT_1,0
637,SENDOUT_1,1
638,SENDOUT_1,1
639,SENDOUT_1,0
640,SENDOUT_1,0
641,SENDOUT_1,0
642,SENDOUT_1,0
643,SENDOUT_1,0
644,SENDOUT_1,1
645,SENDOUT_1,1
646,SENDOUT_1,1
647,SENDOUT_1,1
648,SENDOUT_1,1
649,SENDOUT_1,0
650,SENDOUT_1,0
651,SENDOUT_1,0
652,SENDOUT_1,0
653,SENDOUT_1,1
654,SENDOUT_1,1
655,SENDOUT_1,0
656,SENDOUT_1,0
657,SENDOUT_1,0
658,SENDOUT_1,1
659,SENDOUT_1,1
660,SENDOUT_1,1
661,SENDOUT_1,0
662,SENDOUT_1,0
663,SENDOUT_1,0
664,SENDOUT_1,0
665,SENDOUT_1,1
666,SENDOUT_1,0
667,SENDOUT_1,0
668,SENDOUT_1,1
669,SENDOUT_1,0
670,SENDOUT_1,0
671,SENDOUT_1,0
672,SENDOUT_1,1
673,SENDOUT_1,0
674,SENDOUT_1,0
675,SENDOUT_1,0
676,SENDOUT_1,1
677,SENDOUT_1,0
678,SENDOUT_1,0
679,SENDOUT_1,0
680,SENDOUT_1,1
681,SENDOUT_1,0
682,SENDOUT_1,0
683,SENDOUT_1,1
684,SENDOUT_1,0
685,SENDOUT_1,0
686,SENDOUT_1,0
687,SENDOUT_1,1
688,SENDOUT_1,1
689,SENDOUT_1,0
690,SENDOUT_1,1
691,SENDOUT_1,1
692,SENDOUT_1,1
693,SENDOUT_1,0
694,SENDOUT_1,1
695,SENDOUT_1,0
696,SENDOUT_1,1
697,SENDOUT_1,1
698,SENDOUT_1,1
699,SENDOUT_1,0
700,SENDOUT_1,0
701,SENDOUT_1,1
702,SENDOUT_1,0
703,SENDOUT_1,0
704,SENDOUT_1,1
705,SENDOUT_1,1
706,SENDOUT_1,1
707,SENDOUT_1,1
708,SENDOUT_1,0
709,SENDOUT_1,0
710,SENDOUT_1,1
711,SENDOUT_1,1
712,SENDOUT_1,0
713,SENDOUT_1,0
714,SENDOUT_1,0
715,SENDOUT_1,0
716,SENDOUT_1,1
717,SENDOUT_1,0
718,SENDOUT_1,1
719,SENDOUT_1,0
720,SENDOUT_1,1
721,SENDOUT_1,0
722,SENDOUT_1,1
723,SENDOUT_1,1
724,SENDOUT_1,1
725,SENDOUT_1,1
726,SENDOUT_1,1
727,SENDOUT_1,0
728,SENDOUT_1,1
729,SENDOUT_1,1
730,SENDOUT_1,1
731,SENDOUT_1,0
732,SENDOUT_1,0
733,SENDOUT_1,1
734,SENDOUT_1,0
735,SENDOUT_1,1
736,SENDOUT_1,0
737,SENDOUT_1,0
738,SENDOUT_1,0
739,SENDOUT_1,0
740,SENDOUT_1,0
741,SENDOUT_1,0
742,SENDOUT_1,0
743,SENDOUT_1,0
744,SENDOUT_1,0
745,SENDOUT_1,1
746,SENDOUT_1,0
747,SENDOUT_1,1
748,SENDOUT_1,0
749,SENDOUT_1,0
750,SENDOUT_1,0
751,SENDOUT_1,0
752,SENDOUT_1,1
753,SENDOUT_1,1
754,SENDOUT_1,1
755,SENDOUT_1,1
756,SENDOUT_1,1
757,SENDOUT_1,0
758,SENDOUT_1,1
759,SENDOUT_1,0
760,SENDOUT_1,1
761,SENDOUT_1,1
762,SENDOUT_1,1
763,SENDOUT_1,0
764,SENDOUT_1,1
765,SENDOUT_1,1
766,SENDOUT_1,1
767,SENDOUT_1,0
768,SENDOUT_1,1
769,SENDOUT_1,1
770,SENDOUT_1,0
771,SENDOUT_1,1
772,SENDOUT_1,0
773,SENDOUT_1,0
774,SENDOUT_1,1
775,SENDOUT_1,0
776,SENDOUT_1,0
777,SENDOUT_1,0
778,SENDOUT_1,1
779,SENDOUT_1,1
780,SENDOUT_1,1
781,SENDOUT_1,1
782,SENDOUT_1,1
783,SENDOUT_1,0
784,SENDOUT_1,1
785,SENDOUT_1,1
786,SENDOUT_1,1
787,SENDOUT_1,1
788,SENDOUT_1,0
789,SENDOUT_1,0
790,SENDOUT_1,1
791,SENDOUT_1,0
792,SENDOUT_1,0
793,SENDOUT_1,0
794,SENDOUT_1,0
795,SENDOUT_1,1
796,SENDOUT_1,1
797,SENDOUT_1,0
798,SENDOUT_1,0
799,SENDOUT_1,1
800,SENDOUT_1,1
801,SENDOUT_1,0
802,SENDOUT_1,1
803,SENDOUT_1,0
804,SENDOUT_1,1
805,SENDOUT_1,1
806,SENDOUT_1,1
807,SENDOUT_1,0
808,SENDOUT_1,1
809,SENDOUT_1,0
810,SENDOUT_1,0
811,SENDOUT_1,1
812,SENDOUT_1,1
813,SENDOUT_1,0
814,SENDOUT_1,0
815,SENDOUT_1,1
816,SENDOUT_1,1
817,SENDOUT_1,0
818,SENDOUT_1,1
819,SENDOUT_1,1
820,SENDOUT_1,1
821,SENDOUT_1,1
822,SENDOUT_1,1
823,SENDOUT_1,0
824,SENDOUT_1,1
825,SENDOUT_1,1
826,SENDOUT_1,1
827,SENDOUT_1,0
828,SENDOUT_1,1
829,SENDOUT_1,1
830,SENDOUT_1,1
831,SENDOUT_1,0
832,SENDOUT_1,1
833,SENDOUT_1,1
834,SENDOUT_1,0
835,SENDOUT_1,1
836,SENDOUT_1,1
837,SENDOUT_1,1
838,SENDOUT_1,0
839,SENDOUT_1,0
840,SENDOUT_1,0
841,SENDOUT_1,0
842,SENDOUT_1,1
843,SENDOUT_1,1
844,SENDOUT_1,0
845,SENDOUT_1,1
846,SENDOUT_1,1
847,SENDOUT_1,0
848,SENDOUT_1,0
849,SENDOUT_1,0
850,SENDOUT_1,1
851,SENDOUT_1,0
852,SENDOUT_1,1
853,SENDOUT_1,1
854,SENDOUT_1,0
855,SENDOUT_1,0
856,SENDOUT_1,1
857,SENDOUT_1,1
858,SENDOUT_1,1
859,SENDOUT_1,0
860,SENDOUT_1,1
861,SENDOUT_1,0
862,SENDOUT_1,1
863,SENDOUT_1,0
864,SENDOUT_1,1
865,SENDOUT_1,0
866,SENDOUT_1,0
867,SENDOUT_1,0
868,SENDOUT_1,0
869,SENDOUT_1,1
870,SENDOUT_1,1
871,SENDOUT_1,0
872,SENDOUT_1,1
873,SENDOUT_1,0
874,SENDOUT_1,0
875,SENDOUT_1,0
876,SENDOUT_1,0
877,SENDOUT_1,0
878,SENDOUT_1,0
879,SENDOUT_1,0
880,SENDOUT_1,1
881,SENDOUT_1,1
882,SENDOUT_1,0
883,SENDOUT_1,0
884,SENDOUT_1,0
885,SENDOUT_1,1
886,SENDOUT_1,1
887,SENDOUT_1,1
888,SENDOUT_1,1
889,SENDOUT_1,0
890,SENDOUT_1,0
891,SENDOUT_1,0
892,SENDOUT_1,1
893,SENDOUT_1,1
894,SENDOUT_1,0
895,SENDOUT_1,1
896,SENDOUT_1,0
897,SENDOUT_1,0
898,SENDOUT_1,1
899,SENDOUT_1,0
900,SENDOUT_1,1
901,SENDOUT_1,1
902,SENDOUT_1,1
903,SENDOUT_1,1
904,SENDOUT_1,0
905,SENDOUT_1,1
906,SENDOUT_1,0
907,SENDOUT_1,0
908,SENDOUT_1,0
909,SENDOUT_1,1
910,SENDOUT_1,0
911,SENDOUT_1,1
912,SENDOUT_1,1
913,SENDOUT_1,0
914,SENDOUT_1,1
915,SENDOUT_1,0
916,SENDOUT_1,0
917,SENDOUT_1,0
918,SENDOUT_1,1
919,SENDOUT_1,1
920,SENDOUT_1,1
921,SENDOUT_1,0
922,SENDOUT_1,1
923,SENDOUT_1,0
924,SENDOUT_1,1
925,SENDOUT_1,0
926,SENDOUT_1,0
927,SENDOUT_1,0
928,SENDOUT_1,0
929,SENDOUT_1,1
930,SENDOUT_1,1
931,SENDOUT_1,1
932,SENDOUT_1,0
933,SENDOUT_1,1
934,SENDOUT_1,0
935,SENDOUT_1,1
936,SENDOUT_1,1
937,SENDOUT_1,0
938,SENDOUT_1,0
939,SENDOUT_1,1
940,SENDOUT_1,0
941,SENDOUT_1,0
942,SENDOUT_1,0
943,SENDOUT_1,1
944,SENDOUT_1,0
945,SENDOUT_1,1
946,SENDOUT_1,0
947,SENDOUT_1,1
948,SENDOUT_1,0
949,SENDOUT_1,1
950,SENDOUT_1,0
951,SENDOUT_1,0
952,SENDOUT_1,0
953,SENDOUT_1,1
954,SENDOUT_1,0
955,SENDOUT_1,0
956,SENDOUT_1,1
957,SENDOUT_1,1
958,SENDOUT_1,0
959,SENDOUT_1,0
960,SENDOUT_1,1
961,SENDOUT_1,1
962,SENDOUT_1,0
963,SENDOUT_1,1
964,SENDOUT_1,0
965,SENDOUT_1,0
966,SENDOUT_1,0
967,SENDOUT_1,1
968,SENDOUT_1,0
969,SENDOUT_1,0
970,SENDOUT_1,1
971,SENDOUT_1,1
972,SENDOUT_1,1
973,SENDOUT_1,1
974,SENDOUT_1,0
975,SENDOUT_1,1
976,SENDOUT_1,1
977,SENDOUT_1,1
978,SENDOUT_1,1
979,SENDOUT_1,0
980,SENDOUT_1,1
981,SENDOUT_1,0
982,SENDOUT_1,0
983,SENDOUT_1,1
984,SENDOUT_1,0
985,SENDOUT_1,0
986,SENDOUT_1,1
987,SENDOUT_1,0
988,SENDOUT_1,0
989,SENDOUT_1,0
990,SENDOUT_1,1
991,SENDOUT_1,1
992,SENDOUT_1,0
993,SENDOUT_1,1
994,SENDOUT_1,0
995,SENDOUT_1,1
996,SENDOUT_1,0
997,SENDOUT_1,0
998,SENDOUT_1,1
999,SENDOUT_1,0
1000,SENDOUT_1,0
1001,SENDOUT_1,0
1002,SENDOUT_1,1
1003,SENDOUT_1,1
1004,SENDOUT_1,1
1005,SENDOUT_1,0
1006,SENDOUT_1,1
1007,SENDOUT_1,1
1008,SENDOUT_1,0
1009,SENDOUT_1,0
1010,SENDOUT_1,1
1011,SENDOUT_1,1
1012,SENDOUT_1,1
1013,SENDOUT_1,0
1014,SENDOUT_1,1
1015,SENDOUT_1,0
1016,SENDOUT_1,1
1017,SENDOUT_1,1
1018,SENDOUT_1,1
1019,SENDOUT_1,1
1020,SENDOUT_1,0
1021,SENDOUT_1,1
1022,SENDOUT_1,0
1023,SENDOUT_1,1
1024,SENDOUT_1,1
1025,SENDOUT_1,1
1026,SENDOUT_1,0
1027,SENDOUT_1,1
1028,SENDOUT_1,1
1029,SENDOUT_1,0
1030,SENDOUT_1,1
1031,SENDOUT_1,0
1032,SENDOUT_1,0
1033,SENDOUT_1,0
1034,SENDOUT_1,0
1035,SENDOUT_1,0
1036,SENDOUT_1,1
1037,SENDOUT_1,0
1038,SENDOUT_1,1
1039,SENDOUT_1,0
1040,SENDOUT_1,0
1041,SENDOUT_1,0
1042,SENDOUT_1,0
1043,SENDOUT_1,0
1044,SENDOUT_1,1
1045,SENDOUT_1,0
1046,SENDOUT_1,0
1047,SENDOUT_1,0
1048,SENDOUT_1,0
1049,SENDOUT_1,1
1050,SENDOUT_1,1
1051,SENDOUT_1,1
1052,SENDOUT_1,0
1053,SENDOUT_1,1
1054,SENDOUT_1,1
1055,SENDOUT_1,0
1056,SENDOUT_1,1
1057,SENDOUT_1,1
1058,SENDOUT_1,1
1059,SENDOUT_1,1
1060,SENDOUT_1,1
1061,SENDOUT_1,0
1062,SENDOUT_1,0
1063,SENDOUT_1,0
1064,SENDOUT_1,0
1065,SENDOUT_1,1
1066,SENDOUT_1,0
1067,SENDOUT_1,1
1068,SENDOUT_1,1
